zpid,is_FSBA,is_comingSoon,is_newHome,is_pending,is_forAuction,is_foreclosure,is_bankOwned,is_openHouse,is_FSBO,lastUpdated,ls_id,lmi_id,pl_id
442596092,0,0,1,0,0,0,0,0,0,"2024-11-20 23:54:07",85,1410,NULL
442450739,0,0,1,0,0,0,0,0,0,"2024-11-20 23:54:07",86,1728,NULL
442720661,0,0,1,0,0,0,0,0,0,"2024-11-20 23:54:07",87,725,NULL
440530437,0,0,1,0,0,0,0,0,0,"2024-11-20 23:54:07",88,386,NULL
49072131,0,0,1,0,0,0,0,1,0,"2024-11-20 23:54:07",89,1609,12525
442716195,0,0,1,0,0,0,0,0,0,"2024-11-20 23:54:07",90,416,NULL
88113811,0,1,0,0,0,0,0,0,0,"2024-11-20 23:54:07",91,165,11985
2061885067,0,0,1,0,0,0,0,0,0,"2024-11-20 23:54:07",92,2596,12272
442722309,0,0,1,0,0,0,0,0,0,"2024-11-20 23:54:07",93,1388,NULL
47242177,0,0,1,0,0,0,0,0,0,"2024-11-20 23:54:07",94,284,12172
2077106389,0,0,1,0,0,0,0,0,0,"2024-11-20 23:54:07",95,2984,11821
36559584,0,1,0,0,0,0,0,0,0,"2024-11-20 23:54:07",96,1616,11720
442703765,0,0,1,0,0,0,0,0,0,"2024-11-20 23:54:07",97,477,NULL
2062971299,0,0,1,0,0,0,0,0,0,"2024-11-20 23:54:07",98,1347,12210
442517512,0,0,1,0,0,0,0,0,0,"2024-11-20 23:54:07",99,1872,NULL
442703762,0,0,1,0,0,0,0,0,0,"2024-11-20 23:54:07",100,2610,NULL
349016837,0,0,1,0,0,0,0,0,0,"2024-11-20 23:54:07",101,691,13371
27779092,0,0,1,0,0,0,0,1,0,"2024-11-20 23:54:07",102,1436,12155
420826357,0,0,1,0,0,0,0,1,0,"2024-11-20 23:54:07",103,1352,NULL
442725407,0,0,1,0,0,0,0,1,0,"2024-11-20 23:54:07",104,1399,NULL
27842884,0,0,0,0,0,1,0,0,0,"2024-11-20 23:54:07",105,NULL,12225
36508782,0,0,0,0,1,0,0,0,0,"2024-11-20 23:54:07",106,NULL,11708
440018509,0,0,1,0,0,0,0,0,0,"2024-11-20 23:54:07",107,390,NULL
442707911,0,0,1,0,0,0,0,0,0,"2024-11-20 23:54:07",108,1202,NULL
