zpid,event,price,pricePerSquareFoot,priceChangeRate,dateOfEvent,source,postingIsRental,lastUpdated,lph_id,pl_id,lti_id
46093966,Sold,235000,61,0,1998-10-29,,0,"2024-11-21 00:25:47",231,10124,1881
46093966,Sold,235000,61,0,1998-10-29,,0,"2024-11-21 00:21:31",232,10124,1881
46093966,Sold,235000,61,0,1998-10-29,,0,"2024-11-21 00:24:35",233,10124,1881
46093966,Sold,235000,61,0,1998-10-29,,0,"2024-11-21 00:22:43",234,10124,1881
26461574,Sold,NULL,NULL,0,2016-08-12,,0,"2024-11-20 23:54:06",235,12317,34712
87720340,Sold,235593,NULL,0,2007-01-22,,0,"2024-11-20 23:54:06",236,NULL,36384
27845419,Sold,NULL,NULL,0,2015-06-18,,0,"2024-11-26 06:02:40",237,2108,75371
28442210,Sold,NULL,NULL,0,2016-10-04,,0,"2024-11-26 06:02:40",238,5030,86311
96491066,Sold,NULL,NULL,0,2020-11-30,,0,"2024-11-20 23:54:06",239,12040,17686
26411243,Sold,NULL,NULL,0,2015-09-28,,0,"2024-11-26 06:02:40",240,2226,8443
28467461,Sold,NULL,NULL,0,2023-09-22,,0,"2024-11-20 23:54:06",241,9579,5206
34096565,Sold,90900,61,0,1991-08-06,,0,"2024-11-20 23:54:06",242,NULL,41011
14526433,Sold,4600,NULL,0,2002-04-02,,0,"2024-11-26 06:02:40",243,NULL,97836
26433415,Sold,NULL,NULL,0,2017-06-07,,0,"2024-11-20 23:54:06",244,9755,10807
6230572,Sold,49500,63,0,1986-04-25,,0,"2024-11-20 23:54:06",245,11760,14475
28160486,Sold,NULL,NULL,0,2021-01-27,,0,"2024-11-26 06:02:40",246,2212,98506
169397327,Sold,NULL,NULL,0,2018-11-13,,0,"2024-11-20 23:54:06",247,9704,10754
34114367,Sold,75500,63,0,2015-03-27,,0,"2024-11-20 23:54:06",248,9937,9525
29331256,Sold,NULL,NULL,0,2015-09-17,,0,"2024-11-20 23:54:06",249,9720,13963
26224409,Sold,NULL,NULL,0,2014-09-23,,0,"2024-11-20 23:54:06",250,12269,10246
58296728,Sold,168000,90,0.29,2012-06-25,,0,"2024-11-20 23:54:06",251,12316,37021
28248721,Sold,NULL,NULL,0,1995-08-22,,0,"2024-11-20 23:54:06",252,12233,35741
28490917,Sold,NULL,NULL,0,2012-07-24,,0,"2024-11-20 23:54:06",253,9490,12304
28111186,Sold,NULL,NULL,0,2013-08-15,,0,"2024-11-26 06:02:40",254,2202,78792
26434948,Sold,NULL,NULL,0,2012-12-31,,0,"2024-11-20 23:54:06",255,12287,33721
244863779,Sold,1850000,NULL,0,2014-07-25,,0,"2024-11-20 23:54:06",256,8878,12565
28033576,Sold,NULL,NULL,0,2011-03-01,,0,"2024-11-26 06:02:40",257,2125,75206
69231186,Sold,NULL,NULL,0,2020-07-16,,0,"2024-11-20 23:54:06",258,12286,22235
28349764,Sold,NULL,NULL,0,2017-04-13,,0,"2024-11-20 23:54:06",259,9580,14870
26424379,Sold,NULL,NULL,0,2018-12-15,,0,"2024-11-26 06:02:40",260,NULL,76190
69231186,Sold,NULL,NULL,0,2018-02-10,,0,"2024-11-20 23:54:06",261,12286,22235
26224409,Sold,NULL,NULL,0,2020-10-26,,0,"2024-11-20 23:54:06",262,12269,10246
29436241,Sold,NULL,NULL,0,2021-05-10,,0,"2024-11-26 06:02:40",263,NULL,78679
26293822,Sold,NULL,NULL,0,2012-04-09,,0,"2024-11-20 23:54:06",264,9659,18218
70356971,Sold,NULL,NULL,0,2016-11-13,,0,"2024-11-20 23:54:06",265,NULL,12942
27933581,Sold,NULL,NULL,0,2011-12-15,,0,"2024-11-26 06:02:40",266,2110,91813
36472018,Sold,120200,132,0.01,2018-07-17,,0,"2024-11-20 23:54:06",267,9118,9720
26430359,Sold,NULL,NULL,0,2014-01-28,,0,"2024-11-20 23:54:06",268,9729,14552
31505023,Sold,512000,NULL,0.9,2003-04-27,,0,"2024-11-20 23:54:06",269,11504,31725
2075427606,Sold,NULL,NULL,0,2021-07-30,,0,"2024-11-26 06:02:40",270,NULL,73838
