zpid,zpidComp,addressComp,cityComp,stateComp,zipComp,priceComp,homeTypeComp,homeStatusComp,livingAreaValueComp,livingAreaUnitsComp,lotAreaValueComp,lotAreaUnitsComp,lastUpdated,lsi_id,lnh_id
65469455,65469474,"195 14th St NE UNIT 709",Atlanta,GA,30309,272000,Condo,Sold,0,"Square Feet",653,"Square Feet","2024-11-20 22:18:43",5655,95
35921943,35921889,"2880 Nancy Creek Rd NW",Atlanta,GA,30327,3022200,"Single Family",Other,9670,"Square Feet",1,Acres,"2024-11-20 22:18:43",8644,96
35833387,35833383,"745 Jones Ave NW",Atlanta,GA,30314,360300,"Single Family",Other,2072,"Square Feet",3920,"Square Feet","2024-11-20 22:18:43",51115,97
35890187,35890186,"701 Garibaldi St SW",Atlanta,GA,30310,195900,"Single Family",Other,1400,"Square Feet",4791,"Square Feet","2024-11-20 23:54:06",5145,98
65469455,65469474,"195 14th St NE UNIT 709",Atlanta,GA,30309,272000,Condo,Sold,0,"Square Feet",653,"Square Feet","2024-11-20 23:54:06",5655,99
2132563976,88810448,"870 Mayson Turner Rd NW UNIT 1146",Atlanta,GA,30314,160000,Apartment,Other,900,"Square Feet",1158,"Square Feet","2024-11-20 23:54:06",51114,100
35833387,35833383,"745 Jones Ave NW",Atlanta,GA,30314,360300,"Single Family",Other,2072,"Square Feet",3920,"Square Feet","2024-11-20 23:54:06",51115,101
441910544,340039003,"580 Hancock Dr",Atlanta,GA,30354,449990,"Single Family","Recently Sold",2506,"Square Feet",9148,"Square Feet","2024-11-20 23:54:06",5011,102
35833387,35833384,"749 Jones Ave NW",Atlanta,GA,30314,181900,"Single Family",Other,948,"Square Feet",4094,"Square Feet","2024-11-20 22:18:43",51115,103
441910544,340039003,"580 Hancock Dr",Atlanta,GA,30354,449990,"Single Family","Recently Sold",2506,"Square Feet",9148,"Square Feet","2024-11-20 22:18:43",5011,104
35833387,35833384,"749 Jones Ave NW",Atlanta,GA,30314,181900,"Single Family",Other,948,"Square Feet",4094,"Square Feet","2024-11-20 23:54:06",51115,105
441910544,347042151,"581 Hancock Dr",Atlanta,GA,30354,439990,"Single Family","For Sale",2235,"Square Feet",9235,"Square Feet","2024-11-20 23:54:06",5011,106
35833387,35833385,"755 Jones Ave NW",Atlanta,GA,30314,229100,"Single Family",Other,931,"Square Feet",4133,"Square Feet","2024-11-20 22:18:43",51115,107
69375258,69366139,"2829 Brookford Ln SW",Atlanta,GA,30331,367200,"Single Family",Other,2952,"Square Feet",0,Acres,"2024-11-20 23:54:06",16980,108
35921943,35921889,"2880 Nancy Creek Rd NW",Atlanta,GA,30327,3022200,"Single Family",Other,9670,"Square Feet",1,Acres,"2024-11-20 23:54:06",8644,109
441910544,347042151,"581 Hancock Dr",Atlanta,GA,30354,439990,"Single Family","For Sale",2235,"Square Feet",9235,"Square Feet","2024-11-20 22:18:43",5011,110
35920166,35920165,"1724 Ridge Valley Ct NW",Atlanta,GA,30327,1514800,"Single Family",Other,4634,"Square Feet",1,Acres,"2024-11-20 22:18:43",8626,111
35833387,35833385,"755 Jones Ave NW",Atlanta,GA,30314,229100,"Single Family",Other,931,"Square Feet",4133,"Square Feet","2024-11-20 23:54:06",51115,112
35890187,35890186,"701 Garibaldi St SW",Atlanta,GA,30310,195900,"Single Family",Other,1400,"Square Feet",4791,"Square Feet","2024-11-20 22:18:43",5145,113
35855662,35855664,"1858 Calloway Dr NW",Atlanta,GA,30314,70900,Lot,Other,2562,"Square Feet",9452,"Square Feet","2024-11-20 22:18:43",11798,114
2132563976,88811390,"870 Mayson Turner Rd NW UNIT 1209",Atlanta,GA,30314,121900,"Multi Family",Other,810,"Square Feet",810,"Square Feet","2024-11-20 23:54:06",51114,115
69375258,69366139,"2829 Brookford Ln SW",Atlanta,GA,30331,367200,"Single Family",Other,2952,"Square Feet",0,Acres,"2024-11-20 22:18:43",16980,116
35921943,35921906,"2895 Nancy Creek Rd NW",Atlanta,GA,30327,1667400,"Single Family",Other,5765,"Square Feet",2,Acres,"2024-11-20 23:54:06",8644,117
441910544,439257645,"490 Hancock Dr SE",Atlanta,GA,30354,429990,"Single Family","For Sale",2235,"Square Feet",0,Acres,"2024-11-20 22:18:43",5011,118
35890187,2079173399,"697 Garibaldi St SW LOT 0",Atlanta,GA,30310,590000,"Single Family",Sold,0,"Square Feet",5001,"Square Feet","2024-11-20 23:54:06",5145,119
442743343,35888499,"20 Marietta St NW",Atlanta,GA,30303,125900,Condo,"For Sale",0,"Square Feet",0,"Square Feet","2024-11-20 22:18:43",5660,120
35920166,35920165,"1724 Ridge Valley Ct NW",Atlanta,GA,30327,1514800,"Single Family",Other,4634,"Square Feet",1,Acres,"2024-11-20 23:54:06",8626,121
2132563976,88811390,"870 Mayson Turner Rd NW UNIT 1209",Atlanta,GA,30314,121900,"Multi Family",Other,810,"Square Feet",810,"Square Feet","2024-11-20 22:18:43",51114,122
35872540,35872543,"3367 Martin Luther King Jr Dr SW",Atlanta,GA,30331,183200,"Single Family",Other,1028,"Square Feet",1,Acres,"2024-11-20 23:54:06",3703,123
35921943,35921906,"2895 Nancy Creek Rd NW",Atlanta,GA,30327,1667400,"Single Family",Other,5765,"Square Feet",2,Acres,"2024-11-20 22:18:43",8644,124
441910544,439257645,"490 Hancock Dr SE",Atlanta,GA,30354,429990,"Single Family","For Sale",2235,"Square Feet",0,Acres,"2024-11-20 23:54:06",5011,125
35890187,2079173399,"697 Garibaldi St SW LOT 0",Atlanta,GA,30310,590000,"Single Family",Sold,0,"Square Feet",5001,"Square Feet","2024-11-20 22:18:43",5145,126
442743343,35888499,"20 Marietta St NW",Atlanta,GA,30303,125900,Condo,"For Sale",0,"Square Feet",0,"Square Feet","2024-11-20 23:54:06",5660,127
35872540,35872543,"3367 Martin Luther King Jr Dr SW",Atlanta,GA,30331,183200,"Single Family",Other,1028,"Square Feet",1,Acres,"2024-11-20 22:18:43",3703,128
2132563976,88810949,"870 Mayson Turner Rd NW UNIT 1302",Atlanta,GA,30314,127200,Apartment,Other,1000,"Square Feet",862,"Square Feet","2024-11-20 23:54:06",51114,129
