zpid,price,homeStatus,homeType,datePosted,streetAddress,city,state,zipcode,county,yearBuilt,livingArea,livingAreaUnits,rentZestimate,bathrooms,bedrooms,pageViewCount,favoriteCount,propertyTaxRate,timeOnZillow,dateSold,url,lastUpdated,pl_id,lsi_id,lph_id,ls_id
2090996153,675000,"Recently Sold",Townhouse,2024-10-09,"5942 California Avenue SW UNIT E",Seattle,WA,98136,"King County",2006,1350,sqft,3399,3,3,374,14,0.77,9,2024-11-22,https://www.zillow.com/homedetails/5942-California-Ave-SW-UNIT-E-Seattle-WA-98136/2090996153_zpid/,"2024-11-23 09:30:22",833,24074,41653,2939
32195920,899000,"For Sale","Multi Family",2024-11-28,"187-01 Ridgedale Street","Springfield Gardens",NY,11413,"Queens County",1960,1620,sqft,3348,2,4,30,3,0.86,NULL,NULL,https://www.zillow.com/homedetails/187-01-Ridgedale-St-Springfield-Gardens-NY-11413/32195920_zpid/,"2024-11-29 05:32:39",834,25883,923,358
63659874,417000,"Recently Sold",Condo,2024-10-21,"4074 48th St UNIT 2","San Diego",CA,92105,"San Diego County",1980,852,sqft,2337,2,2,2209,107,1.17,9,2024-11-22,https://www.zillow.com/homedetails/4074-48th-St-UNIT-2-San-Diego-CA-92105/63659874_zpid/,"2024-11-23 09:30:22",835,19666,50378,2338
48959397,890000,"Recently Sold","Single Family",2024-08-17,"2307 12th Avenue S",Seattle,WA,98144,"King County",2002,2460,sqft,3947,4,4,165,8,0.77,9,2024-11-22,https://www.zillow.com/homedetails/2307-12th-Ave-S-Seattle-WA-98144/48959397_zpid/,"2024-11-23 09:30:22",836,22080,41649,2192
68316237,1260000,"For Sale","Multi Family",2024-11-28,"93-11 90th Avenue",Jamaica,NY,11421,"Queens County",2005,NULL,NULL,3155,4,5,177,14,0.86,NULL,NULL,https://www.zillow.com/homedetails/9311-90th-Ave-Jamaica-NY-11421/68316237_zpid/,"2024-11-29 05:32:39",837,31079,NULL,8592
49121356,699000,"Recently Sold",Condo,2024-08-21,"10203 47th Avenue SW UNIT B22",Seattle,WA,98146,"King County",1967,1264,sqft,2874,2,2,59,1,0.77,9,2024-11-22,https://www.zillow.com/homedetails/10203-47th-Ave-SW-APT-B22-Seattle-WA-98146/49121356_zpid/,"2024-11-23 09:30:22",838,19395,41610,2456
16964629,1598000,"Recently Sold","Single Family",2024-10-03,"3949 Alicia Dr","San Diego",CA,92107,"San Diego County",1945,1111,sqft,4764,1,3,217,12,1.17,9,2024-11-22,https://www.zillow.com/homedetails/3949-Alicia-Dr-San-Diego-CA-92107/16964629_zpid/,"2024-11-23 09:30:22",839,1414,50357,2289
11514060,424652,"For Sale","Single Family",2024-11-28,"466 42nd St",Pittsburgh,PA,15201,"Allegheny County",1900,1550,sqft,2144,2,3,479,15,1.43,15,NULL,https://www.zillow.com/homedetails/466-42nd-St-Pittsburgh-PA-15201/11514060_zpid/,"2024-11-29 05:32:39",840,69654,54043,8444
48796294,760000,"Recently Sold","Single Family",2024-10-10,"10038 2nd Avenue SW",Seattle,WA,98146,"King County",1960,2100,sqft,4621,2,5,79,2,0.77,9,2024-11-22,https://www.zillow.com/homedetails/10038-2nd-Ave-SW-Seattle-WA-98146/48796294_zpid/,"2024-11-23 09:30:22",841,22140,41619,2664
16959485,795000,"Recently Sold","Single Family",2024-10-17,"3208 Meade Ave","San Diego",CA,92116,"San Diego County",1927,889,sqft,3078,1,2,158,4,1.17,9,2024-11-22,https://www.zillow.com/homedetails/3208-Meade-Ave-San-Diego-CA-92116/16959485_zpid/,"2024-11-23 09:30:22",842,24464,50396,2411
